category,url,inline_note_from_file,poster_handle,poster_display_name,title,description,title_length,description_length,description_truncated,detected_handles,metadata_extracted_address,metadata_city,metadata_state,backend_status,backend_candidate_name,backend_candidate_address,backend_candidate_place_id,backend_decision,safe_to_auto_save,confidence,evidence_used,warnings,places_queries,top_candidates,duplicate_url_count,duplicate_group_id,error_message,expected_place_name,expected_address,expected_decision,label_notes,label_status_initial
Name + Address,https://www.instagram.com/p/DYpcd2ZBTsZ/,,,"2nd Floor Restaurant, Bar, Gallery, Nightclub","2nd Floor Restaurant, Bar, Gallery, Nightclub on Instagram: ""R&B Singalong Brunch in OC! Round up your crew and join us here at 2nd Floor to sing & dance your heart out to classic R&B favorites - plus bottomless mimosas & the best brunch! 🍳 🥂
🗓️ Sunday, May 24th
⏰ 11AM - 3PM
📍 2nd Floor
126 Main St
Huntington Beach, CA 92648

#huntingtonbeach #rbmusic #memorialdayweekend #wheretoeat #brunch","741 likes, 11 comments - 2nd_floor_hb on May 22, 2026: ""R&B Singalong Brunch in OC! Round up your crew and join us here at 2nd Floor to sing & dance your heart out to classic R&B favorites - plus bottomless mimosas & the best brunch! 🍳…",397,237,true,"ocfoodandview, 2nd_floor_hb",126 Main St,Huntington Beach,CA,extracted,2nd Floor,"126 Main St, Huntington Beach, CA 92648, USA",ChIJE5pV1UMh3YARIhsItpUt0K8,candidate_confirmation,false,high,places_strong_match; caption_explicit_address; places_address_verified,profile_media_http_429; agent_timeout_10000ms; timeout_recovery_query:2nd Floor 126 Main St Huntington Beach CA=>1; timeout_recovery_attempted_query:2nd Floor 126 Main St Huntington Beach CA=>1; timeout_recovery_address_verified:126 Main St|Huntington Beach; agent_timeout_recovered_with_places; profile_media_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""2nd Floor 126 Main St Huntington Beach CA"" count=1","2nd Floor | 126 Main St, Huntington Beach, CA 92648, USA | score=1.00 | placeId=ChIJE5pV1UMh3YARIhsItpUt0K8",1,0,,2nd Floor,"126 Main St, Huntington Beach, CA 92648",candidate_confirmation,Exact venue + full address in caption/title. safe_save acceptable if real-Gemini path completes and no ambiguity.,pass
Name + Address,https://www.instagram.com/p/C-BEtdnyGdR/,,,MAD YOLKS,"MAD YOLKS on Instagram: ""One bite and you’ll be hooked 🍳🤤
-
All sandwiches are topped with chives and made with our signature brioche buns that is baked FRESH daily onsite✨

✔️ Gluten-free buns are available!
🥚s from @glaumeggranch 
-
📍Mad Yolks
1411 Pacific Ave, Santa Cruz, CA 
-
#breakfastsandwich #santacruz #santacruzeats #santacruzfood #breakfastspot #brunch #downtownsantacruz #supportlocal #localproduce #breakfastlover #brunchlife #eggsandwich","167 likes, 1 comments - mad_yolks on July 29, 2024: ""One bite and you’ll be hooked 🍳🤤
-
All sandwiches are topped with chives and made with our signature brioche buns that is baked FRESH daily onsite✨

✔️ Gluten-free buns are available…",456,238,true,"glaumeggranch, downtownsantacruz",1411 Pacific Ave,Santa Cruz,CA,extracted,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA 95060, USA",ChIJa-286P5BjoARx03hogk54cw,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_glaumeggranch_http_429; agent_timeout_10000ms; timeout_recovery_query:Glaumeggranch 1411 Pacific Ave Santa Cruz CA=>2; timeout_recovery_attempted_query:Glaumeggranch 1411 Pacific Ave Santa Cruz CA=>2; timeout_recovery_address_verified:1411 Pacific Ave|Santa Cruz; agent_timeout_recovered_with_places; profile_glaumeggranch_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Glaumeggranch 1411 Pacific Ave Santa Cruz CA"" count=2","Mad Yolks | 1411 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.40 | placeId=ChIJa-286P5BjoARx03hogk54cw || Glaum Egg Ranch | 3100 Valencia Rd, Aptos, CA 95003, USA | score=0.00 | placeId=ChIJg22OlFEWjoARb2YWx9cximM",1,0,,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA",candidate_confirmation,Exact venue + address. Current backend finds correct place but query uses Glaum Egg Ranch first; should prefer caption venue/poster venue over egg supplier tag.,pass
Name + Address,https://www.instagram.com/p/DV_bi8LiaIz/,,,Tanika Patel Gonzalez,"Tanika Patel Gonzalez on Instagram: ""The crispy tacos are still my TOP to this day, such a iconic spot in santa cruz right by the wharf, what’s your fave at Las Palmas taco bar? 

55 front street santa cruz #santacruzeats","861 likes, 64 comments - eatwithtanika on March 17, 2026: ""The crispy tacos are still my TOP to this day, such a iconic spot in santa cruz right by the wharf, what’s your fave at Las Palmas taco bar? 

55 front street santa cruz #santacr…",221,238,true,"eatwithtanika, barb3113",55 front street,,,extracted,55 Front St W,"55 Front St W, Toronto, ON M5J 0G3, Canada",ChIJZxXgjyzL1IkR6iOvHqkydQ0,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_media_http_429; agent_timeout_10000ms; timeout_recovery_query:55 front street=>1; timeout_recovery_attempted_query:55 front street=>1; agent_timeout_recovered_with_places; profile_media_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""55 front street"" count=1","55 Front St W | 55 Front St W, Toronto, ON M5J 0G3, Canada | score=0.70 | placeId=ChIJZxXgjyzL1IkR6iOvHqkydQ0",2,1,,Las Palmas Taco Bar,"55 Front St, Santa Cruz, CA",candidate_confirmation,Caption has venue name and address context but city/state not structured; current Toronto result is wrong. Need city/hashtag/location context handling.,review
Name + Address,https://www.instagram.com/p/DWUI9fvDCck/,,,DOUBLE MEAT PLEASE  •  ᴅᴍᴘ,"DOUBLE MEAT PLEASE  •  ᴅᴍᴘ on Instagram: ""Seabright deli is one of the best sandwich spots.

I had friends visiting from the city and wanted to take them to one of my personal favorite spots.

This mom and pop shop is about quality. They smoke their chicken and brisket (sadly the brisket sandwiches were sold out) and I’m in love with their new york style pastrami.

We got 4 sandwiches which were similar but also different and big favorites.

We grabbed the yatch club
Their smoked chicken, bacon, chedder, and their sun dried tomato aioli. 

The beach bum
New York pastrami, sauerkraut, and their house made thousand island with Swiss cheese on their rye.

The Surfer
Their house smoked chicken, bbq sauce, pickled onions, cheddar, and sun dried tomato aioli.

The Seabright.
Not shown, bc it was devoted instantly.
Pastrami, pickles, Swiss cheese, and the best coriander mustard aioli ever.

Check out @seabrightdeli and get some of the best sandwiches from some of the best people.

📍415 Seabright Ave
⏳Tuesday- Sunday. 11am-3:45pm

#doublemeatplease 
#diningwithdaniel","344 likes, 17 comments - doublemeatplease on March 25, 2026: ""Seabright deli is one of the best sandwich spots.

I had friends visiting from the city and wanted to take them to one of my personal favorite spots.

This mom and pop shop is…",1076,238,true,"seabrightdeli, danielj.west",415 Seabright Ave,,,extracted,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA 95062, USA",ChIJnRX-2FJrjoARoeQkm8tJ08E,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_seabrightdeli_http_429; agent_timeout_10000ms; timeout_recovery_query:Seabrightdeli 415 Seabright Ave=>1; timeout_recovery_attempted_query:Seabrightdeli 415 Seabright Ave=>1; timeout_recovery_address_verified:415 Seabright Ave|; agent_timeout_recovered_with_places; profile_seabrightdeli_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Seabrightdeli 415 Seabright Ave"" count=1","Seabright Deli | 415 Seabright Ave, Santa Cruz, CA 95062, USA | score=0.30 | placeId=ChIJnRX-2FJrjoARoeQkm8tJ08E",1,0,,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA",candidate_confirmation,Exact venue + address. Should not return generic address card.,pass
Name + Address,https://www.instagram.com/p/C2QKOHuP6qG/,,,MAD YOLKS,"MAD YOLKS on Instagram: ""Who doesn’t love breakfast all day? 😋🍳

~ unique breakfast sandwiches 
~ refreshing matcha lattes 
~ breakfast specialty items
~ coffee and hot teas 

Mad Yolks is committed to using fresh, locally sourced ingredients and preparing food from scratch, we make our sauces in-house, bake our buns daily, and use cage-free organic eggs from a local egg farm - @glaumeggranch 🥚

Get yolked soon!🍳

📍Mad Yolks
1411 Pacific Ave, Santa Cruz, CA 

#brunch #breakfast #eggsandwiches #matchalatte #coffee #santacruzbucketlist #santacruz #thingstodoinsantacruz","4,549 likes, 18 comments - mad_yolks on January 18, 2024: ""Who doesn’t love breakfast all day? 😋🍳

~ unique breakfast sandwiches 
~ refreshing matcha lattes 
~ breakfast specialty items
~ coffee and hot teas 

Mad Yolks is committed to…",578,238,true,"glaumeggranch, mad_yolks",1411 Pacific Ave,Santa Cruz,CA,extracted,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA 95060, USA",ChIJa-286P5BjoARx03hogk54cw,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_glaumeggranch_http_429; agent_timeout_10000ms; timeout_recovery_query:Glaumeggranch 1411 Pacific Ave Santa Cruz CA=>2; timeout_recovery_attempted_query:Glaumeggranch 1411 Pacific Ave Santa Cruz CA=>2; timeout_recovery_address_verified:1411 Pacific Ave|Santa Cruz; agent_timeout_recovered_with_places; profile_glaumeggranch_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Glaumeggranch 1411 Pacific Ave Santa Cruz CA"" count=2","Mad Yolks | 1411 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.40 | placeId=ChIJa-286P5BjoARx03hogk54cw || Glaum Egg Ranch | 3100 Valencia Rd, Aptos, CA 95003, USA | score=0.00 | placeId=ChIJg22OlFEWjoARb2YWx9cximM",1,0,,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA",candidate_confirmation,Exact venue + address. Should prefer Mad Yolks over Glaum Egg Ranch tag.,pass
@ + Address,https://www.instagram.com/p/DYlLg3coKFw/,,,OC Food | Christine☀️,"OC Food | Christine☀️ on Instagram: ""Giant BYO Burritos & Stacked Bowls 🌯 @baqba.official is hands down better than Chipotle for the freshness, flavor, and portions! They grill up the proteins fresh and make the tortillas by hand right in-front of you! Bookmark Baqba for your next burrito craving! 🔥 

Montclair:
📍4288 Holt Blvd
Unit J
Montclair, CA  91763

Rialto:
📍1165 Renaissance Pkwy
Ste 410
Rialto, CA  92376

#chipotle #mexicanfood #insane #burrito #massive","142 likes, 5 comments - ocfoodandview on May 20, 2026: ""Giant BYO Burritos & Stacked Bowls 🌯 @baqba.official is hands down better than Chipotle for the freshness, flavor, and portions! They grill up the proteins fresh and make the torti…",469,238,true,"baqba.official, ocfoodandview",4288 Holt Blvd,Montclair,CA,extracted,Baqba Mexican Grill,"4288 Holt Blvd unit J, Montclair, CA 91763, USA",ChIJoV_1bwAzw4ARgnSzpaTeQLQ,candidate_confirmation,false,high,places_strong_match; caption_explicit_address; places_address_verified,profile_baqba.official_http_429; agent_timeout_10000ms; timeout_recovery_query:Baqba 4288 Holt Blvd Montclair CA=>1; timeout_recovery_attempted_query:Baqba 4288 Holt Blvd Montclair CA=>1; timeout_recovery_address_verified:4288 Holt Blvd|Montclair; agent_timeout_recovered_with_places; profile_baqba.official_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Baqba 4288 Holt Blvd Montclair CA"" count=1","Baqba Mexican Grill | 4288 Holt Blvd unit J, Montclair, CA 91763, USA | score=1.00 | placeId=ChIJoV_1bwAzw4ARgnSzpaTeQLQ",1,0,,Baqba Mexican Grill,"4288 Holt Blvd Unit J, Montclair, CA 91763",candidate_confirmation,Post lists multiple Baqba locations; expected first/addressed Montclair candidate or multi-location candidate confirmation.,pass
@ + Address,https://www.instagram.com/p/DYidHK4PuVf/,,,OC Food | Christine☀️,"OC Food | Christine☀️ on Instagram: ""BBQ Pork Wonton Nachos!? 🔥 @famousdaves just dropped these tasty new nachos: Golden wonton chips stacked with Georgia-chopped pork, cabbage, Korean Sweet Heat Sauce, jalapeno-pickled red onions, and finished with green onions. I was skeptical of this one at first, but I tried it and it’s bomb! 🤤 Avail for a limited time!

📍300 S Pine Ave
Long Beach, CA  90802

#nachos #bbq #howitsmade #inthekitchen #wonton","91 likes, 7 comments - ocfoodandview on May 19, 2026: ""BBQ Pork Wonton Nachos!? 🔥 @famousdaves just dropped these tasty new nachos: Golden wonton chips stacked with Georgia-chopped pork, cabbage, Korean Sweet Heat Sauce, jalapeno-pickle…",449,238,true,"famousdaves, famousdaves_california",300 S Pine Ave,Long Beach,CA,extracted,Famous Dave's Bar-B-Que,"300 S Pine Ave, Long Beach, CA 90802, USA",ChIJo0h2qBYx3YAR1HWWVGbjUFI,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_famousdaves_http_429; agent_timeout_10000ms; timeout_recovery_query:Famousdaves 300 S Pine Ave Long Beach CA=>1; timeout_recovery_attempted_query:Famousdaves 300 S Pine Ave Long Beach CA=>1; timeout_recovery_address_verified:300 S Pine Ave|Long Beach; agent_timeout_recovered_with_places; profile_famousdaves_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Famousdaves 300 S Pine Ave Long Beach CA"" count=1","Famous Dave's Bar-B-Que | 300 S Pine Ave, Long Beach, CA 90802, USA | score=0.40 | placeId=ChIJo0h2qBYx3YAR1HWWVGbjUFI",1,0,,Famous Dave's Bar-B-Que,"300 S Pine Ave, Long Beach, CA 90802",candidate_confirmation,Venue-like handle + full address. Correct candidate confirmation.,pass
@ + Address,https://www.instagram.com/p/DYfr81GhvTS/,,,OC Food | Christine☀️,"OC Food | Christine☀️ on Instagram: ""Hands down the best breakfast deal in OC 🥞 @loadedcafe is known for classic American comfort food with a Mexican twist! 🍳 They’ve got creative dishes like churro-stuff French toast, giant concha & coffee, asada chilaquiles torta, concha milkshakes, and sooo much more! 

$5.75 Secret Menu Breakfast: 2 pancakes, 2 eggs any style, and 2 bacon strips or sausage! This is not on the menu, so you gotta show them this post to get the deal 💰

I went to the location in Orange, but Loaded Cafe also has locations in Placentia, Santa Ana, Long Beach and others in LA county too! Bookmark @loadedcafe for this insane breakfast deal and plenty of creative & unique breakfast dishes! 

📍 1834 N Tustin St
Orange, CA  92865

#breakfastdeal #pancakes #eggs #orangecounty #fooddeals","2,123 likes, 33 comments - ocfoodandview on May 18, 2026: ""Hands down the best breakfast deal in OC 🥞 @loadedcafe is known for classic American comfort food with a Mexican twist! 🍳 They’ve got creative dishes like churro-stuff French t…",810,238,true,"loadedcafe, ocfoodandview",1834 N Tustin St,Orange,CA,extracted,Loaded Cafe - Orange,"1834 N Tustin St, Orange, CA 92865, USA",ChIJG1xM7EHX3IARfRat2N2mU84,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_loadedcafe_http_429; agent_timeout_10000ms; timeout_recovery_query:Loadedcafe 1834 N Tustin St Orange CA=>1; timeout_recovery_attempted_query:Loadedcafe 1834 N Tustin St Orange CA=>1; timeout_recovery_address_verified:1834 N Tustin St|Orange; agent_timeout_recovered_with_places; profile_loadedcafe_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Loadedcafe 1834 N Tustin St Orange CA"" count=1","Loaded Cafe - Orange | 1834 N Tustin St, Orange, CA 92865, USA | score=0.40 | placeId=ChIJG1xM7EHX3IARfRat2N2mU84",1,0,,Loaded Cafe - Orange,"1834 N Tustin St, Orange, CA 92865",candidate_confirmation,Venue-like handle + full address. Correct candidate confirmation.,pass
@ + Address,https://www.instagram.com/p/DYVn771vefW/,,,OC Food | Christine☀️,"OC Food | Christine☀️ on Instagram: ""Pho Restaurant with live jazz 🎶We recently went to @phobamboorestaurant in City of Industry for a free jazz concert by @sgvjazz with the @sgvsymphony 🎼 It was such a fun and unique dinner experience! 

We enjoyed incredible Vietnamese food while listening to live jazz, and the pho was seriously amazing with rich, flavorful broth and a huge, tender rib bone! 🍲 family-owned spot has  plenty of comforting dishes on the menu! Don’t sleep on the appetizers too! The staff are SO friendly and welcoming 🤗 

We really enjoyed the music and atmosphere! SGV Symphony is all about bringing live music into the community and performing jazz music inspired by film, video games, and pop culture all across SoCal and creating experiences that connect music and community! 

Check out the @sgvjazz page for upcoming live concerts, and follow @phobamboorestaurant for incredible Vietnamese food! 🍲 

📍 18209 Gale Ave
City Of Industry, CA 91748

#jazznight #pho #vietnamesefood #familyowned #jazzmusic","162 likes, 4 comments - ocfoodandview on May 14, 2026: ""Pho Restaurant with live jazz 🎶We recently went to @phobamboorestaurant in City of Industry for a free jazz concert by @sgvjazz with the @sgvsymphony 🎼 It was such a fun and uniqu…",1032,238,true,"phobamboorestaurant, sgvjazz",18209 Gale Ave,City Of Industry,CA,extracted,Pho Bamboo Vietnamese Restaurant,"18209 Gale Ave, City of Industry, CA 91748, USA",ChIJ2R9lbmYqw4ARNY62k_90y4Y,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_phobamboorestaurant_http_429; agent_timeout_10000ms; timeout_recovery_query:Phobamboorestaurant 18209 Gale Ave City Of Industry CA=>1; timeout_recovery_attempted_query:Phobamboorestaurant 18209 Gale Ave City Of Industry CA=>1; timeout_recovery_address_verified:18209 Gale Ave|City Of Industry; agent_timeout_recovered_with_places; profile_phobamboorestaurant_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Phobamboorestaurant 18209 Gale Ave City Of Industry CA"" count=1","Pho Bamboo Vietnamese Restaurant | 18209 Gale Ave, City of Industry, CA 91748, USA | score=0.40 | placeId=ChIJ2R9lbmYqw4ARNY62k_90y4Y",1,0,,Pho Bamboo Vietnamese Restaurant,"18209 Gale Ave, City of Industry, CA 91748",candidate_confirmation,Venue-like handle + full address. Correct candidate confirmation.,pass
@ + Address,https://www.instagram.com/p/DYGvkJ0oDjA/,,,OC Food | Christine☀️,"OC Food | Christine☀️ on Instagram: ""Iconic Cantina in Newport Beach🍹If you’ve been to Newport, then you already know about @bajasharkeeznb 🌮 This fun cantina is know for massive buckets and fish bowl drinks, but they’ve also got a great lineup of food! Their tender, flavorful birria items are delicious and I tried the whole lineup:

Birria Items: 
-Slow Braised Birria Flautas
-Cheesy Birria Quesadilla 
-Birria Crusty Queso Tacos
-Birria Beef Burrito

📍114 McFadden Pl
Newport Beach, CA  92663

#iconic #wheretoeat #newportbeach #staple #foodreview","1,327 likes, 15 comments - ocfoodandview on May 8, 2026: ""Iconic Cantina in Newport Beach🍹If you’ve been to Newport, then you already know about @bajasharkeeznb 🌮 This fun cantina is know for massive buckets and fish bowl drinks, but t…",555,238,true,"bajasharkeeznb, ocfoodandview",114 McFadden Pl,Newport Beach,CA,extracted,,,,manual_fallback,false,low,profile_blocked; places_no_match,profile_bajasharkeeznb_http_429; agent_timeout_10000ms; timeout_recovery_query:Bajasharkeez 114 McFadden Pl Newport Beach CA=>1; timeout_recovery_attempted_query:Bajasharkeez 114 McFadden Pl Newport Beach CA=>1; timeout_recovery_query:Bajasharkeez 114 McFadden Pl Newport Beach=>1; timeout_recovery_attempted_query:Bajasharkeez 114 McFadden Pl Newport Beach=>1; timeout_recovery_query:Bajasharkeez 114 McFadden Pl=>1; timeout_recovery_attempted_query:Bajasharkeez 114 McFadden Pl=>1; timeout_recovery_query:Media 114 McFadden Pl Newport Beach CA=>1; timeout_recovery_attempted_query:Media 114 McFadden Pl Newport Beach CA=>1; timeout_recovery_query:Media 114 McFadden Pl Newport Beach=>4; timeout_recovery_attempted_query:Media 114 McFadden Pl Newport Beach=>4; timeout_recovery_query:Media 114 McFadden Pl=>0; timeout_recovery_attempted_query:Media 114 McFadden Pl=>0; timeout_recovery_query:114 McFadden Pl Newport Beach CA=>1; timeout_recovery_attempted_query:114 McFadden Pl Newport Beach CA=>1; timeout_recovery_query:114 McFadden Pl Newport Beach=>1; timeout_recovery_attempted_query:114 McFadden Pl Newport Beach=>1; timeout_recovery_query:114 McFadden Pl=>0; timeout_recovery_attempted_query:114 McFadden Pl=>0; timeout_recovery_no_safe_query; profile_bajasharkeeznb_http_429; agent_timeout_10000ms,,,1,0,,Baja Sharkeez,"114 McFadden Pl, Newport Beach, CA 92663",candidate_confirmation,Venue-like handle + full address. Current manual fallback is wrong; handle normalization likely strips nb/region poorly or fails matching.,review
@ + Address,https://www.instagram.com/p/DV9RcvwAQ0P/,,,CUZZOEATS-The “No Sabo” Punjabi🇲🇽👳🏽‍♂️,"CUZZOEATS-The “No Sabo” Punjabi🇲🇽👳🏽‍♂️ on Instagram: ""📍Seabright Deli
415 Seabright Ave
Santa Cruz, CA

I can literally say this is the best sandwich I have ever tried.  The Cove from @seabrightdeli is a must try, so damn good I’m already planning my next trip back just so I can come get this sandwich again.  Great customer service, and they get your food out quickly and with a smile.  CUZZO APPROVED!!","6,031 likes, 208 comments - cuzzoeats on March 16, 2026: ""📍Seabright Deli
415 Seabright Ave
Santa Cruz, CA

I can literally say this is the best sandwich I have ever tried.  The Cove from @seabrightdeli is a must try, so damn good I’m a…",410,238,true,,415 Seabright Ave,Santa Cruz,CA,extracted,415 Seabright Ave,"415 Seabright Ave, Santa Cruz, CA 95062, USA",ChIJbbLAzqRqjoARTmg24wbc9h8,manual_fallback,false,high,caption_explicit_address; caption_explicit_venue; profile_blocked; transcript_unsupported; places_weak_match,"address_detected:415 Seabright Ave; places_attempt:415 Seabright Ave, Santa Cruz, CA=>1; places_final_query:415 Seabright Ave, Santa Cruz, CA; model_latency_ms=4941; profile_seabrightdeli_http_429","searchPlaces status=ok note=query=""415 Seabright Ave, Santa Cruz, CA"" count=1",415 Seabright Ave | score=1.00 | placeId=415 Seabright Ave,1,0,,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA",candidate_confirmation,Explicit venue + address. Current generic address card/manual fallback is wrong.,pass
@ + Address,https://www.instagram.com/p/DWZNJZ-EthD/,,,Fiona Beata,"Fiona Beata on Instagram: ""This AWARD WINNING barbecue spot might just be the best in the Bay Area👀 With slow smoked meats & daily live music, @aptosstbbq is the heart of the Santa Cruz community.

From amazing brisket to their next level burnt ends, this is a must-try spot for anyone in the SF Bay🔥 (did I mention thy have 25 local beers on tap?)

📍8059 Aptos St
Aptos, CA  95003

Everything I tried:
• Tri-tip with Cornbread & Coleslaw
• Burnt Ends & Brisket Combo
• Thicc Bird Hazy IPA - Ghostwood
• Corned Beef Special with Mac & Cheese
• Fresh Garlic Bread
• Sincere Dry Apple Cider
• Bread Pudding with Vanilla Ice Cream
• Barebottle Hefe-Moon Bay Hefeweizen 

#bayareabbq #sanjosefoodie #barbeque #sanfranciscocoffee #bayareafoodie","351 likes, 146 comments - fiona.beata on March 27, 2026: ""This AWARD WINNING barbecue spot might just be the best in the Bay Area👀 With slow smoked meats & daily live music, @aptosstbbq is the heart of the Santa Cruz community.

From am…",742,238,true,"aptosstbbq, californiaslatest",8059 Aptos St,,CA,extracted,Aptos St. BBQ,"8059 Aptos St, Aptos, CA 95003, USA",ChIJPxBh-XgWjoARZlz1iflbMsE,candidate_confirmation,false,high,profile_blocked; places_weak_match; caption_explicit_address; places_address_verified,profile_aptosstbbq_http_429; agent_timeout_10000ms; timeout_recovery_query:Aptosstbbq 8059 Aptos St=>1; timeout_recovery_attempted_query:Aptosstbbq 8059 Aptos St=>1; timeout_recovery_address_verified:8059 Aptos St|; agent_timeout_recovered_with_places; profile_aptosstbbq_http_429; agent_timeout_10000ms; agent_timeout_recovered_with_places,"searchPlaces status=ok note=query=""Aptosstbbq 8059 Aptos St"" count=1","Aptos St. BBQ | 8059 Aptos St, Aptos, CA 95003, USA | score=0.30 | placeId=ChIJPxBh-XgWjoARZlz1iflbMsE",1,0,,Aptos St. BBQ,"8059 Aptos St, Aptos, CA 95003",candidate_confirmation,Venue-like handle + address; city implied by street/caption. Correct candidate confirmation.,pass
